Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Harian(ton),Timbulan Sampah Tahunan(ton)
2021,Jawa Tengah,Kab. Magelang,682,248.800
2021,Jawa Tengah,Kab. Boyolali,291,106.159
2021,Jawa Tengah,Kab. Klaten,590,215.459
2021,Jawa Tengah,Kab. Sukoharjo,359,131.201
2021,Jawa Tengah,Kab. Wonogiri,439,160.370
2021,Jawa Tengah,Kab. Karanganyar,362,132.072
2021,Jawa Tengah,Kab. Sragen,586,213.952
2021,Jawa Tengah,Kab. Blora,227,82.802
2021,Jawa Tengah,Kab. Rembang,246,89.666
2021,Jawa Tengah,Kab. Pati,662,241.664
2021,Jawa Tengah,Kab. Jepara,400,146.028
2021,Jawa Tengah,Kab. Demak,722,263.666
2021,Jawa Tengah,Kab. Semarang,527,192.189
2021,Jawa Tengah,Kab. Temanggung,500,182.563
2021,Jawa Tengah,Kab. Batang,324,118.317
2021,Jawa Tengah,Kab. Pekalongan,388,141.448
2021,Jawa Tengah,Kab. Pemalang,589,214.837
2021,Jawa Tengah,Kab. Tegal,671,244.819
2021,Jawa Tengah,Kab. Brebes,983,358.865
2021,Jawa Tengah,Kota Magelang,81,29.448
2021,Jawa Tengah,Kota Salatiga,112,40.969
2021,Jawa Tengah,Kota Semarang,1.180,430.750
2021,Jawa Tengah,Kota Tegal,202,73.574
2021,D.I. Yogyakarta,Kab. Kulon Progo,177,64.654
2021,D.I. Yogyakarta,Kab. Sleman,736,268.482
2021,D.I. Yogyakarta,Kota Yogyakarta,327,119.502
2021,Jawa Timur,Kab. Pacitan,287,104.655
2021,Jawa Timur,Kab. Ponorogo,388,141.541
2021,Jawa Timur,Kab. Trenggalek,294,107.294
2021,Jawa Timur,Kab. Tulungagung,548,200.128
2021,Jawa Timur,Kab. Blitar,410,149.624
2021,Jawa Timur,Kab. Kediri,534,194.846
2021,Jawa Timur,Kab. Lumajang,502,183.049
2021,Jawa Timur,Kab. Banyuwangi,1.253,457.297
2021,Jawa Timur,Kab. Situbondo,257,93.866
2021,Jawa Timur,Kab. Jombang,530,193.583
2021,Jawa Timur,Kab. Nganjuk,444,162.014
2021,Jawa Timur,Kab. Magetan,268,97.939
2021,Jawa Timur,Kab. Ngawi,357,130.204
2021,Jawa Timur,Kab. Bojonegoro,537,195.824
2021,Jawa Timur,Kab. Tuban,503,183.655
2021,Jawa Timur,Kab. Lamongan,222,81.008
2021,Jawa Timur,Kab. Pamekasan,277,100.957
2021,Jawa Timur,Kab. Sumenep,367,134.117
2021,Jawa Timur,Kota Kediri,169,61.812
2021,Jawa Timur,Kota Blitar,75,27.443
2021,Jawa Timur,Kota Malang,678,247.389
2021,Jawa Timur,Kota Probolinggo,97,35.248
2021,Jawa Timur,Kota Pasuruan,135,49.349
2021,Jawa Timur,Kota Madiun,120,43.695
2021,Jawa Timur,Kota Surabaya,1.783,650.615
2021,Jawa Timur,Kota Batu,114,41.762
2021,Banten,Kab. Serang,1.164,424.802
2021,Banten,Kota Cilegon,217,79.369
2021,Banten,Kota Tangerang Selatan,799,291.659
2021,Bali,Kab. Jembrana,163,59.396
2021,Bali,Kab. Tabanan,231,84.247
2021,Bali,Kab. Badung,320,116.731
2021,Bali,Kab. Gianyar,387,141.337
2021,Bali,Kab. Bangli,111,40.480
2021,Bali,Kab. Buleleng,339,123.772
2021,Bali,Kota Denpasar,958,349.519
2021,Nusa Tenggara Barat,Kab. Lombok Timur,483,176.455
2021,Nusa Tenggara Barat,Kab. Sumbawa,259,94.704
2021,Nusa Tenggara Barat,Kota Mataram,264,96.354
2021,Nusa Tenggara Timur,Kab. Alor,117,42.533
2021,Nusa Tenggara Timur,Kab. Manggarai Barat,82,29.996
2021,Nusa Tenggara Timur,Kota Kupang,221,80.803
2021,Kalimantan Barat,Kab. Sambas,277,101.244
2021,Kalimantan Barat,Kab. Mempawah,82,30.016
2021,Kalimantan Barat,Kab. Sanggau,242,88.479
2021,Kalimantan Barat,Kab. Melawi,84,30.524
2021,Kalimantan Barat,Kota Pontianak,396,144.651
2021,Kalimantan Barat,Kota Singkawang,118,42.899
2021,Kalimantan Tengah,Kab. Kapuas,205,74.898
2021,Kalimantan Tengah,Kab. Barito Utara,63,23.130
2021,Kalimantan Tengah,Kab. Seruyan,81,29.731
2021,Kalimantan Tengah,Kab. Gunung Mas,102,37.066
2021,Kalimantan Tengah,Kab. Pulang Pisau,68,24.699
2021,Kalimantan Tengah,Kab. Barito Timur,47,16.978
2021,Kalimantan Tengah,Kota Palangkaraya,148,53.990
2021,Kalimantan Selatan,Kab. Tanah Laut,142,51.734
2021,Kalimantan Selatan,Kab. Kotabaru,130,47.541
2021,Kalimantan Selatan,Kab. Banjar,408,148.796
2021,Kalimantan Selatan,Kab. Barito Kuala,95,34.660
2021,Kalimantan Selatan,Kab. Tapin,80,29.379
2021,Kalimantan Selatan,Kab. Hulu Sungai Selatan,96,35.043
2021,Kalimantan Selatan,Kab. Hulu Sungai Tengah,103,37.773
2021,Kalimantan Selatan,Kab. Hulu Sungai Utara,97,35.281
2021,Kalimantan Selatan,Kab. Tabalong,101,36.983
2021,Kalimantan Selatan,Kab. Tanah Bumbu,164,59.986
2021,Kalimantan Selatan,Kab. Balangan,56,20.441
2021,Kalimantan Selatan,Kota Banjarmasin,506,184.856
2021,Kalimantan Selatan,Kota Banjarbaru,165,60.120
2021,Kalimantan Timur,Kab. Paser,115,42.081
2021,Kalimantan Timur,Kab. Kutai Kartanegara,223,81.244
2021,Kalimantan Timur,Kab. Kutai Timur,212,77.462
2021,Kalimantan Timur,Kab. Penajam Paser Utara,93,33.767
2021,Kalimantan Timur,Kota Balikpapan,497,181.480
2021,Kalimantan Timur,Kota Samarinda,582,212.377
2021,Kalimantan Timur,Kota Bontang,104,37.894
2021,Kalimantan Utara,Kab. Nunukan,42,15.260
2021,Kalimantan Utara,Kab. Tana Tidung,13,4.833
2021,Sulawesi Utara,Kab. Kepulauan Sangihe,56,20.332
2021,Sulawesi Utara,Kab. Minahasa Selatan,95,34.524
2021,Sulawesi Utara,Kab. Minahasa Tenggara,45,16.559
2021,Sulawesi Utara,Kab. Bolaang Mongondow Utara,42,15.168
2021,Sulawesi Utara,Kab. Bolaang Mongondow Selatan,35,12.737
2021,Sulawesi Utara,Kota Manado,340,124.060
2021,Sulawesi Utara,Kota Bitung,159,57.875
2021,Sulawesi Utara,Kota Kotamobagu,87,31.621
2021,Sulawesi Tengah,Kab. Donggala,122,44.400
2021,Sulawesi Tengah,Kab. Parigi Moutong,226,82.342
2021,Sulawesi Tengah,Kab. Sigi,129,47.008
2021,Sulawesi Tengah,Kab. Banggai Laut,35,12.934
2021,Sulawesi Tengah,Kota Palu,187,68.229
2021,Sulawesi Selatan,Kab. Kepulauan Selayar,56,20.488
2021,Sulawesi Selatan,Kab. Bulukumba,174,63.488
2021,Sulawesi Selatan,Kab. Bantaeng,81,29.446
2021,Sulawesi Selatan,Kab. Jeneponto,161,58.635
2021,Sulawesi Selatan,Kab. Sinjai,108,39.535
2021,Sulawesi Selatan,Kab. Bone,403,147.232
2021,Sulawesi Selatan,Kab. Maros,159,57.951
2021,Sulawesi Selatan,Kab. Pangkajene Kepulauan,138,50.483
2021,Sulawesi Selatan,Kab. Barru,76,27.722
2021,Sulawesi Selatan,Kab. Soppeng,95,34.707
2021,Sulawesi Selatan,Kab. Wajo,152,55.349
2021,Sulawesi Selatan,Kab. Sidenreng Rappang,128,46.719
2021,Sulawesi Selatan,Kab. Pinrang,177,64.570
2021,Sulawesi Selatan,Kab. Enrekang,114,41.597
2021,Sulawesi Selatan,Kab. Luwu Timur,120,43.875
2021,Sulawesi Selatan,Kota Makassar,1.024,373.654
2021,Sulawesi Selatan,Kota Parepare,76,27.832
2021,Sulawesi Selatan,Kota Palopo,92,33.704
2021,Sulawesi Tenggara,Kab. Wakatobi,79,28.903
2021,Sulawesi Tenggara,Kota Kendari,265,96.543
2021,Gorontalo,Kota Gorontalo,141,51.542
2021,Sulawesi Barat,Kab. Majene,70,25.463
2021,Sulawesi Barat,Kab. Mamuju Tengah,63,22.864
2021,Maluku,Kab. Maluku Tengah,170,62.166
2021,Maluku,Kab. Buru Selatan,31,11.297
2021,Maluku,Kota Tual,54,19.612
2021,Maluku Utara,Kota Tidore Kepulauan,46,16.835
2021,Papua,Kab. Jayapura,84,30.747
2021,Papua,Kab. Biak Numfor,58,21.324
2021,Papua,Kab. Keerom,26,9.536
2021,Papua,Kota Jayapura,218,79.497
2021,Papua Barat,Kab. Manokwari,160,58.406
2021,Papua Selatan,Kab. Asmat,45,16.298
2021,Papua Tengah,Kab. Nabire,68,24.694
2021,Papua Pegunungan,Kab. Lanny Jaya,81,29.483
2021,Papua Barat Daya,Kab. Sorong Selatan,22,8.167
2021,Papua Barat Daya,Kab. Tambrauw,11,4.143
2022,Aceh,Kab. Aceh Selatan,96,35.218
2022,Aceh,Kab. Aceh Tenggara,91,33.333
2022,Aceh,Kab. Aceh Timur,173,63.196
2022,Aceh,Kab. Aceh Barat,101,37.022
2022,Aceh,Kab. Pidie,178,64.898
2022,Aceh,Kab. Simeulue,45,16.281
2022,Aceh,Kab. Aceh Singkil,53,19.261
2022,Aceh,Kab. Aceh Barat Daya,78,28.348
2022,Aceh,Kab. Gayo Lues,41,14.986
2022,Aceh,Kab. Aceh Jaya,47,17.231
2022,Aceh,Kab. Nagan Raya,69,25.315
2022,Aceh,Kab. Aceh Tamiang,121,44.063
2022,Aceh,Kab. Bener Meriah,66,24.085
2022,Aceh,Kab. Pidie Jaya,80,29.029
2022,Aceh,Kota Banda Aceh,252,92.056
2022,Aceh,Kota Sabang,17,6.308
2022,Aceh,Kota Langsa,94,34.470
2022,Aceh,Kota Subulussalam,37,13.530
2022,Sumatera Utara,Kab. Tapanuli Tengah,185,67.397
2022,Sumatera Utara,Kab. Nias,58,21.272
2022,Sumatera Utara,Kab. Langkat,521,190.324
2022,Sumatera Utara,Kab. Deli Serdang,1.127,411.211
2022,Sumatera Utara,Kab. Simalungun,511,186.445
2022,Sumatera Utara,Kab. Asahan,473,172.565
2022,Sumatera Utara,Kab. Toba,96,35.059
2022,Sumatera Utara,Kab. Humbang Hasundutan,59,21.654
2022,Sumatera Utara,Kota Medan,1.723,628.749
2022,Sumatera Utara,Kota Pematang Siantar,241,88.121
2022,Sumatera Utara,Kota Tebing Tinggi,125,45.488
2022,Sumatera Utara,Kota Padangsidimpuan,162,59.066
2022,Sumatera Barat,Kab. Pesisir Selatan,153,55.803
2022,Sumatera Barat,Kab. Solok,158,57.559
2022,Sumatera Barat,Kab. Sijunjung,97,35.514
2022,Sumatera Barat,Kab. Tanah Datar,129,47.057
2022,Sumatera Barat,Kab. Padang Pariaman,218,79.594
2022,Sumatera Barat,Kab. Agam,214,77.994
2022,Sumatera Barat,Kab. Lima Puluh Kota,153,55.955
2022,Sumatera Barat,Kab. Pasaman,121,44.253
2022,Sumatera Barat,Kab. Dharmasraya,104,37.831
2022,Sumatera Barat,Kab. Solok Selatan,74,26.989
2022,Sumatera Barat,Kab. Pasaman Barat,175,63.877
2022,Sumatera Barat,Kota Padang,644,234.973
2022,Sumatera Barat,Kota Solok,54,19.810
2022,Sumatera Barat,Kota Sawahlunto,19,6.883
2022,Sumatera Barat,Kota Padang Panjang,49,17.865
2022,Sumatera Barat,Kota Bukittinggi,125,45.708
2022,Sumatera Barat,Kota Payakumbuh,100,36.609
2022,Sumatera Barat,Kota Pariaman,38,13.963
2022,Riau,Kab. Indragiri Hulu,181,66.173
2022,Riau,Kab. Bengkalis,262,95.586
2022,Riau,Kab. Rokan Hulu,363,132.614
2022,Riau,Kab. Rokan Hilir,333,121.581
2022,Riau,Kab. Siak,187,68.136
2022,Riau,Kab. Kuantan Singingi,139,50.801
2022,Riau,Kota Pekanbaru,977,356.503
2022,Riau,Kota Dumai,166,60.559
2022,Jambi,Kab. Merangin,202,73.778
2022,Jambi,Kab. Sarolangun,117,42.866
2022,Jambi,Kab. Bungo,159,57.857
2022,Jambi,Kota Jambi,438,159.688
2022,Jambi,Kota Sungai Penuh,50,18.295
2022,Sumatera Selatan,Kab. Ogan Komering Ulu,152,55.557
2022,Sumatera Selatan,Kab. Muara Enim,233,84.901
2022,Sumatera Selatan,Kab. Lahat,270,98.407
2022,Sumatera Selatan,Kab. Musi Rawas,256,93.259
2022,Sumatera Selatan,Kab. Musi Banyuasin,258,94.145
2022,Sumatera Selatan,Kab. Banyuasin,579,211.236
2022,Sumatera Selatan,Kab. Ogan Komering Ulu Timur,282,102.982
2022,Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,102,37.316
2022,Sumatera Selatan,Kota Palembang,1.205,439.816
2022,Sumatera Selatan,Kota Prabumulih,98,35.918
2022,Bengkulu,Kab. Bengkulu Utara,190,69.208
2022,Bengkulu,Kab. Seluma,105,38.417
2022,Bengkulu,Kab. Lebong,81,29.410
2022,Lampung,Kab. Tanggamus,366,133.452
2022,Lampung,Kab. Way Kanan,192,70.086
2022,Lampung,Kab. Pringsewu,163,59.396
2022,Lampung,Kab. Tulang Bawang Barat,114,41.788
2022,Lampung,Kota Bandar Lampung,786,287.058
2022,Lampung,Kota Metro,104,38.126
2022,Kepulauan Bangka Belitung,Kab. Bangka,134,48.814
2022,Kepulauan Bangka Belitung,Kab. Belitung,74,26.865
2022,Kepulauan Bangka Belitung,Kab. Bangka Selatan,82,29.967
2022,Kepulauan Bangka Belitung,Kab. Bangka Tengah,82,30.061
2022,Kepulauan Bangka Belitung,Kab. Belitung Timur,51,18.585
2022,Kepulauan Riau,Kab. Bintan,56,20.410
2022,Kepulauan Riau,Kab. Karimun,186,68.008
2022,Kepulauan Riau,Kab. Natuna,34,12.475
2022,Kepulauan Riau,Kab. Lingga,28,10.377
2022,Kepulauan Riau,Kab. Kepulauan Anambas,13,4.818
2022,Kepulauan Riau,Kota Batam,1.133,413.462
2022,Kepulauan Riau,Kota Tanjung Pinang,156,56.905
2022,DKI Jakarta,Kab. Adm. Kep. Seribu,18,6.531
2022,DKI Jakarta,Kota Adm. Jakarta Pusat,850,310.269
2022,DKI Jakarta,Kota Adm. Jakarta Utara,1.368,499.481
2022,DKI Jakarta,Kota Adm. Jakarta Barat,2.023,738.548
2022,DKI Jakarta,Kota Adm. Jakarta Selatan,1.954,713.301
2022,DKI Jakarta,Kota Adm. Jakarta Timur,2.313,844.252
2022,Jawa Barat,Kab. Bandung,1.283,468.352
2022,Jawa Barat,Kab. Garut,1.112,405.970
2022,Jawa Barat,Kab. Ciamis,575,209.758
2022,Jawa Barat,Kab. Kuningan,599,218.782
2022,Jawa Barat,Kab. Sumedang,443,161.592
2022,Jawa Barat,Kab. Indramayu,1.114,406.481
2022,Jawa Barat,Kab. Karawang,1.004,366.436
2022,Jawa Barat,Kab. Bekasi,2.250,821.379
2022,Jawa Barat,Kota Bogor,744,271.728
2022,Jawa Barat,Kota Sukabumi,180,65.828
2022,Jawa Barat,Kota Bandung,1.594,581.877
2022,Jawa Barat,Kota Bekasi,1.831,668.179
2022,Jawa Barat,Kota Cimahi,275,100.542
2022,Jawa Barat,Kota Tasikmalaya,319,116.476
2022,Jawa Barat,Kota Banjar,86,31.268
2022,Jawa Tengah,Kab. Cilacap,951,347.056
2022,Jawa Tengah,Kab. Banyumas,537,195.964
2022,Jawa Tengah,Kab. Purbalingga,510,186.121
2022,Jawa Tengah,Kab. Kebumen,463,169.013
2022,Jawa Tengah,Kab. Purworejo,290,105.694
2022,Jawa Tengah,Kab. Wonosobo,366,133.683
2022,Jawa Tengah,Kab. Boyolali,293,106.781
2022,Jawa Tengah,Kab. Klaten,643,234.703
2022,Jawa Tengah,Kab. Sukoharjo,362,132.101
2022,Jawa Tengah,Kab. Wonogiri,348,126.918
2022,Jawa Tengah,Kab. Karanganyar,376,137.066
2022,Jawa Tengah,Kab. Sragen,590,215.417
2022,Jawa Tengah,Kab. Grobogan,849,310.022
2022,Jawa Tengah,Kab. Blora,383,139.812
2022,Jawa Tengah,Kab. Rembang,252,92.026
2022,Jawa Tengah,Kab. Pati,675,246.224
2022,Jawa Tengah,Kab. Kudus,448,163.579
2022,Jawa Tengah,Kab. Jepara,412,150.516
2022,Jawa Tengah,Kab. Demak,722,263.666
2022,Jawa Tengah,Kab. Semarang,530,193.422
2022,Jawa Tengah,Kab. Temanggung,400,146.050
2022,Jawa Tengah,Kab. Kendal,410,149.653
2022,Jawa Tengah,Kab. Batang,567,207.055
2022,Jawa Tengah,Kab. Pekalongan,391,142.570
2022,Jawa Tengah,Kab. Pemalang,594,216.695
2022,Jawa Tengah,Kab. Tegal,840,306.466
2022,Jawa Tengah,Kab. Brebes,1.005,366.938
2022,Jawa Tengah,Kota Magelang,81,29.385
2022,Jawa Tengah,Kota Surakarta,376,137.345
2022,Jawa Tengah,Kota Salatiga,114,41.668
2022,Jawa Tengah,Kota Semarang,1.181,431.085
2022,Jawa Tengah,Kota Tegal,217,79.366
2022,D.I. Yogyakarta,Kab. Kulon Progo,177,64.731
2022,D.I. Yogyakarta,Kab. Gunungkidul,378,137.872
2022,D.I. Yogyakarta,Kab. Sleman,597,217.807
2022,D.I. Yogyakarta,Kota Yogyakarta,303,110.643
2022,Jawa Timur,Kab. Pacitan,288,105.000
2022,Jawa Timur,Kab. Ponorogo,382,139.553
2022,Jawa Timur,Kab. Trenggalek,305,111.499
2022,Jawa Timur,Kab. Tulungagung,554,202.149
2022,Jawa Timur,Kab. Blitar,409,149.306
2022,Jawa Timur,Kab. Kediri,658,240.082
2022,Jawa Timur,Kab. Malang,961,350.614
2022,Jawa Timur,Kab. Lumajang,525,191.446
2022,Jawa Timur,Kab. Jember,1.015,370.362
2022,Jawa Timur,Kab. Banyuwangi,814,297.078
2022,Jawa Timur,Kab. Situbondo,257,93.892
2022,Jawa Timur,Kab. Probolinggo,462,168.761
2022,Jawa Timur,Kab. Mojokerto,461,168.323
2022,Jawa Timur,Kab. Jombang,530,193.583
2022,Jawa Timur,Kab. Nganjuk,444,162.108
2022,Jawa Timur,Kab. Madiun,300,109.521
2022,Jawa Timur,Kab. Magetan,276,100.648
2022,Jawa Timur,Kab. Ngawi,358,130.696
2022,Jawa Timur,Kab. Bojonegoro,376,137.271
2022,Jawa Timur,Kab. Tuban,505,184.439
2022,Jawa Timur,Kab. Lamongan,228,83.241
2022,Jawa Timur,Kab. Gresik,391,142.835
2022,Jawa Timur,Kab. Bangkalan,416,151.736
2022,Jawa Timur,Kab. Sampang,464,169.511
2022,Jawa Timur,Kab. Pamekasan,277,101.141
2022,Jawa Timur,Kab. Sumenep,362,132.198
2022,Jawa Timur,Kota Kediri,179,65.184
2022,Jawa Timur,Kota Blitar,76,27.733
2022,Jawa Timur,Kota Malang,765,279.148
2022,Jawa Timur,Kota Probolinggo,97,35.465
2022,Jawa Timur,Kota Pasuruan,146,53.297
2022,Jawa Timur,Kota Mojokerto,67,24.420
2022,Jawa Timur,Kota Madiun,121,44.220
2022,Jawa Timur,Kota Surabaya,1.784,651.043
2022,Jawa Timur,Kota Batu,135,49.359
2022,Banten,Kab. Lebak,591,215.885
2022,Banten,Kab. Tangerang,2.305,841.498
2022,Banten,Kab. Serang,1.136,414.582
2022,Banten,Kota Tangerang,1.382,504.258
2022,Banten,Kota Cilegon,228,83.169
2022,Banten,Kota Serang,585,213.464
2022,Banten,Kota Tangerang Selatan,973,355.009
2022,Bali,Kab. Jembrana,163,59.473
2022,Bali,Kab. Badung,327,119.475
2022,Bali,Kab. Gianyar,539,196.699
2022,Bali,Kab. Klungkung,103,37.644
2022,Bali,Kab. Bangli,112,40.836
2022,Bali,Kab. Karangasem,312,113.712
2022,Bali,Kab. Buleleng,393,143.284
2022,Bali,Kota Denpasar,867,316.313
2022,Nusa Tenggara Barat,Kab. Lombok Barat,289,105.336
2022,Nusa Tenggara Barat,Kab. Lombok Tengah,420,153.264
2022,Nusa Tenggara Barat,Kab. Lombok Timur,538,196.210
2022,Nusa Tenggara Barat,Kab. Sumbawa,260,94.820
2022,Nusa Tenggara Barat,Kab. Bima,277,101.102
2022,Nusa Tenggara Barat,Kab. Lombok Utara,103,37.446
2022,Nusa Tenggara Barat,Kota Mataram,264,96.437
2022,Nusa Tenggara Barat,Kota Bima,83,30.189
2022,Nusa Tenggara Timur,Kab. Manggarai Barat,85,30.972
2022,Nusa Tenggara Timur,Kota Kupang,228,83.193
2022,Kalimantan Barat,Kab. Sambas,318,116.112
2022,Kalimantan Barat,Kab. Mempawah,84,30.670
2022,Kalimantan Barat,Kab. Sanggau,246,89.842
2022,Kalimantan Barat,Kab. Kapuas Hulu,133,48.664
2022,Kalimantan Barat,Kota Pontianak,402,146.561
2022,Kalimantan Barat,Kota Singkawang,94,34.298
2022,Kalimantan Tengah,Kab. Kotawaringin Barat,136,49.737
2022,Kalimantan Tengah,Kab. Kapuas,212,77.236
2022,Kalimantan Tengah,Kab. Barito Selatan,67,24.440
2022,Kalimantan Tengah,Kab. Barito Utara,62,22.604
2022,Kalimantan Tengah,Kab. Seruyan,82,29.999
2022,Kalimantan Tengah,Kab. Gunung Mas,102,37.058
2022,Kalimantan Tengah,Kab. Pulang Pisau,68,24.946
2022,Kalimantan Tengah,Kab. Murung Raya,56,20.340
2022,Kalimantan Tengah,Kab. Barito Timur,46,16.798
2022,Kalimantan Tengah,Kota Palangkaraya,152,55.448
2022,Kalimantan Selatan,Kab. Tanah Laut,142,51.807
2022,Kalimantan Selatan,Kab. Kotabaru,181,66.144
2022,Kalimantan Selatan,Kab. Barito Kuala,96,35.180
2022,Kalimantan Selatan,Kab. Tapin,82,29.967
2022,Kalimantan Selatan,Kab. Hulu Sungai Selatan,97,35.330
2022,Kalimantan Selatan,Kab. Hulu Sungai Tengah,104,38.070
2022,Kalimantan Selatan,Kab. Hulu Sungai Utara,93,33.768
2022,Kalimantan Selatan,Kab. Tabalong,103,37.508
2022,Kalimantan Selatan,Kab. Tanah Bumbu,166,60.743
2022,Kalimantan Selatan,Kab. Balangan,56,20.576
2022,Kalimantan Selatan,Kota Banjarmasin,467,170.543
2022,Kalimantan Selatan,Kota Banjarbaru,184,67.080
2022,Kalimantan Timur,Kab. Paser,119,43.301
2022,Kalimantan Timur,Kab. Kutai Kartanegara,314,114.525
2022,Kalimantan Timur,Kab. Berau,136,49.802
2022,Kalimantan Timur,Kab. Kutai Barat,70,25.639
2022,Kalimantan Timur,Kab. Kutai Timur,213,77.674
2022,Kalimantan Timur,Kab. Penajam Paser Utara,96,35.034
2022,Kalimantan Timur,Kab. Mahakam Ulu,15,5.585
2022,Kalimantan Timur,Kota Balikpapan,515,187.875
2022,Kalimantan Timur,Kota Samarinda,587,214.348
2022,Kalimantan Timur,Kota Bontang,104,38.046
2022,Kalimantan Utara,Kab. Nunukan,43,15.577
2022,Kalimantan Utara,Kab. Tana Tidung,14,5.178
2022,Sulawesi Utara,Kab. Bolaang Mongondow,125,45.712
2022,Sulawesi Utara,Kab. Minahasa,174,63.633
2022,Sulawesi Utara,Kab. Kepulauan Sangihe,56,20.394
2022,Sulawesi Utara,Kab. Minahasa Selatan,95,34.524
2022,Sulawesi Utara,Kab. Minahasa Utara,118,43.114
2022,Sulawesi Utara,Kab. Minahasa Tenggara,46,16.841
2022,Sulawesi Utara,Kab. Bolaang Mongondow Utara,35,12.652
